tconst	averageRating	numVotes
tt0000455	6.8	1941
tt0000456	4.0	64
tt0000459	4.4	79
tt0000464	4.8	491
tt0000465	7.3	1831
tt0000469	5.8	1159
tt0000471	5.2	536
tt0000472	6.2	25
tt0000479	5.2	416
tt0000480	5.0	219
tt0000487	6.8	554
tt0000488	6.9	878
tt0000491	3.8	71
tt0000492	4.8	143
tt0000495	6.0	124
tt0000496	5.7	76
tt0000497	5.2	94
tt0000498	6.6	1324
tt0000499	7.5	4008
tt0000501	4.7	53
tt0000502	4.4	17
tt0000505	6.3	31
tt0000506	4.8	10
tt0000507	3.4	63
tt0000509	5.6	52
tt0000511	6.0	48
tt0000512	4.4	73
tt0000515	4.7	109
tt0000516	6.6	1135
tt0000519	5.7	418
tt0000520	6.3	66
tt0000521	5.5	347
tt0000524	5.8	817
tt0000525	5.4	55
tt0000526	4.1	71
tt0000528	5.4	18
tt0000533	6.3	42
tt0000534	6.6	1285
tt0000535	5.0	68
tt0000537	4.4	95
tt0000543	4.5	18
tt0000546	6.7	1995
tt0000548	4.4	9
tt0000550	3.2	15
tt0000552	5.6	73
tt0000553	6.5	530
tt0000554	6.3	1466
tt0000555	5.1	22
tt0000557	4.7	142
tt0000561	4.9	63
tt0000565	6.2	667
tt0000567	6.8	1371
tt0000570	4.0	57
tt0000571	6.8	71
tt0000574	6.0	900
tt0000575	5.7	559
tt0000576	6.1	247
tt0000578	7.4	28
tt0000582	4.7	757
tt0000583	5.2	52
tt0000584	5.1	87
tt0000588	5.4	8
tt0000591	5.4	24
tt0000594	5.9	16
tt0000595	5.8	14
tt0000596	4.9	22
tt0000597	5.0	74
tt0000598	5.1	37
tt0000599	3.8	14
tt0000601	5.8	13
tt0000602	4.3	248
tt0000608	5.7	21
tt0000609	4.8	21
tt0000610	4.9	21
tt0000613	4.3	13
tt0000614	6.5	1218
tt0000615	4.3	25
tt0000617	4.9	40
tt0000618	8.9	14
tt0000621	6.5	624
tt0000627	5.9	64
tt0000628	5.7	928
tt0000629	5.6	86
tt0000630	2.9	27
tt0000632	5.0	59
tt0000634	3.9	27
tt0000637	5.5	784
tt0000638	5.0	87
tt0000639	5.0	100
tt0000640	4.4	148
tt0000641	4.7	180
tt0000642	5.2	67
tt0000644	5.1	63
tt0000645	5.0	186
tt0000648	4.6	173
tt0000650	7.6	21
tt0000651	4.8	75
tt0000653	4.5	231
tt0000654	4.8	118
tt0000658	6.4	290
tt0000659	4.8	83
tt0000660	5.4	63
tt0000661	7.2	19
tt0000662	4.3	67
tt0000663	5.1	62
tt0000665	5.3	64
tt0000666	5.4	32
tt0000668	6.9	57
tt0000669	4.9	166
tt0000671	5.7	15
tt0000672	6.2	46
tt0000673	5.6	15
tt0000674	4.7	52
tt0000675	4.2	20
tt0000676	3.6	17
tt0000679	5.2	73
tt0000680	5.5	53
tt0000681	5.7	43
tt0000682	6.9	2845
tt0000683	5.5	89
tt0000684	5.1	131
tt0000685	5.5	47
tt0000689	6.2	57
tt0000690	6.1	43
tt0000694	5.1	52
tt0000695	5.6	53
tt0000697	4.3	32
tt0000698	5.2	27
tt0000699	5.5	27
tt0000700	5.1	80
tt0000704	5.3	59
tt0000706	5.0	32
tt0000707	4.4	28
tt0000708	4.5	43
tt0000709	5.5	70
tt0000711	4.2	25
tt0000713	5.6	25
tt0000717	5.9	23
tt0000720	6.0	18
tt0000722	4.7	12
tt0000724	5.2	44
tt0000725	4.3	19
tt0000727	5.5	20
tt0000728	5.9	136
tt0000730	5.8	71
tt0000731	4.5	24
tt0000733	6.2	32
tt0000734	4.0	15
tt0000737	4.8	36
tt0000738	7.9	21
tt0000739	6.2	17
tt0000740	5.0	19
tt0000741	4.8	26
tt0000743	6.7	16
tt0000746	7.1	20
tt0000747	5.3	33
tt0000748	5.4	28
tt0000749	5.8	860
tt0000752	5.1	143
tt0000754	7.2	70
tt0000755	5.7	226
tt0000756	5.3	148
tt0000758	6.1	30
tt0000759	7.6	12
tt0000762	5.1	38
tt0000764	5.6	141
tt0000765	5.6	17
tt0000767	6.3	21
tt0000769	5.3	171
tt0000770	5.4	169
tt0000771	5.6	24
tt0000772	5.8	20
tt0000775	7.5	11
tt0000776	5.6	137
tt0000778	6.0	16
tt0000779	5.0	18
tt0000781	6.3	19
tt0000782	8.1	23
tt0000784	4.5	27
tt0000785	5.2	67
tt0000787	4.8	22
tt0000789	5.0	72
tt0000790	6.1	436
tt0000792	4.5	70
tt0000793	4.1	20
tt0000797	5.4	180
tt0000798	4.5	16
tt0000800	5.0	120
tt0000801	4.9	75
tt0000803	6.5	11
tt0000807	4.8	63
tt0000809	6.3	64
tt0000815	4.4	66
tt0000816	4.6	135
tt0000817	4.3	21
tt0000819	5.3	69
tt0000821	4.7	130
tt0000823	4.5	56
tt0000825	4.5	57
tt0000826	4.4	56
tt0000827	5.2	100
tt0000828	5.3	116
tt0000829	4.4	61
tt0000831	5.2	141
tt0000832	6.6	2753
tt0000833	6.4	768
tt0000835	4.8	163
tt0000836	4.7	55
tt0000837	5.1	44
tt0000840	5.6	362
tt0000841	5.3	83
tt0000843	5.6	42
tt0000844	6.6	23
tt0000845	4.5	43
tt0000847	5.6	16
tt0000848	5.4	23
tt0000851	4.9	46
tt0000852	5.6	273
tt0000853	5.2	41
tt0000854	5.9	562
tt0000855	5.2	51
tt0000857	4.6	39
tt0000858	5.1	39
tt0000860	4.6	82
tt0000861	5.1	62
tt0000862	4.4	17
tt0000864	5.6	60
tt0000866	5.7	9
tt0000870	5.4	61
tt0000871	5.7	123
tt0000873	5.8	12
tt0000874	4.7	52
tt0000875	4.3	38
tt0000877	4.7	110
tt0000878	5.0	186
tt0000880	5.8	88
tt0000882	5.7	234
tt0000884	3.5	12
tt0000886	4.6	41
tt0000887	4.9	52
tt0000890	7.0	34
tt0000891	5.6	63
tt0000892	5.6	88
tt0000893	6.2	44
tt0000895	5.5	214
tt0000896	3.2	24
tt0000897	5.2	68
tt0000898	5.6	28
tt0000900	3.6	24
tt0000901	4.5	25
tt0000902	5.1	18
tt0000903	5.4	22
tt0000904	5.2	120
tt0000905	4.8	24
tt0000907	6.2	25
tt0000908	6.3	33
tt0000910	4.8	27
tt0000911	3.3	27
tt0000912	4.4	72
tt0000916	6.0	67
tt0000917	5.2	22
tt0000919	3.2	24
tt0000920	4.2	24
tt0000921	5.0	26
tt0000922	5.4	119
tt0000924	6.1	194
tt0000928	5.4	102
tt0000929	5.3	47
tt0000930	4.6	13
tt0000932	3.2	10
tt0000933	4.5	58
tt0000934	4.3	22
tt0000935	6.1	117
tt0000936	6.2	129
tt0000938	4.5	196
tt0000939	5.3	21
tt0000941	4.6	29
tt0000942	6.2	1097
tt0000944	3.8	11
tt0000945	4.8	82
tt0000946	4.5	84
tt0000950	4.6	17
tt0000954	5.0	17
tt0000956	5.6	16
tt0000957	6.1	50
tt0000958	5.3	17
tt0000960	4.7	306
tt0000961	8.2	23
tt0000962	5.2	16
tt0000964	4.4	18
tt0000966	5.6	368
tt0000967	5.2	19
tt0000969	6.6	26
tt0000970	5.8	83
tt0000971	6.3	188
tt0000972	5.8	103
tt0000974	5.2	63
tt0000975	5.1	22
tt0000976	3.9	20
tt0000979	5.2	32
tt0000981	5.7	63
tt0000985	4.4	16
tt0000986	5.1	122
tt0000987	7.8	10
tt0000988	4.7	26
tt0000989	4.8	54
tt0000990	5.9	86
tt0000992	4.4	15
tt0000995	6.6	18
tt0000997	6.3	17
tt0000998	5.5	19
tt0001000	5.3	59
tt0001001	5.2	147
tt0001002	4.8	103
tt0001005	5.3	24
tt0001008	5.2	30
tt0001009	6.5	1028
tt0001010	4.2	15
tt0001011	4.4	17
tt0001013	5.9	419
tt0001014	4.8	123
tt0001015	5.0	27
tt0001016	5.1	155
tt0001020	5.0	15
tt0001025	7.0	18
tt0001027	5.3	17
tt0001028	4.0	20
tt0001029	5.1	54
tt0001032	6.0	962
tt0001033	4.8	22
tt0001035	5.2	42
tt0001036	2.6	13
tt0001037	3.4	18
tt0001038	3.7	22
tt0001041	5.2	45
tt0001044	5.4	118
tt0001045	5.6	15
tt0001049	4.2	18
tt0001050	5.0	88
tt0001052	4.8	17
tt0001053	5.3	17
tt0001054	5.8	38
tt0001058	5.3	26
tt0001060	5.4	16
tt0001061	6.6	72
tt0001062	6.2	1286
tt0001063	5.2	17
tt0001064	5.0	46
tt0001065	4.2	17
tt0001066	4.8	21
tt0001067	5.9	55
tt0001071	6.4	16
tt0001072	5.6	403
tt0001074	5.6	21
tt0001075	4.3	18
tt0001076	5.2	26
tt0001077	5.0	15
tt0001078	5.3	57
tt0001079	4.7	18
tt0001083	5.0	149
tt0001084	5.2	181
tt0001085	4.8	17
tt0001086	6.1	18
tt0001088	5.1	79
tt0001089	8.2	40
tt0001090	6.5	16
tt0001091	5.3	218
tt0001092	5.7	57
tt0001094	3.8	17
tt0001095	3.5	18
tt0001098	5.9	20
tt0001099	5.0	18
tt0001101	4.8	41
tt0001103	5.4	68
tt0001104	4.8	59
tt0001105	6.4	1038
tt0001106	5.8	168
tt0001107	6.0	111
tt0001111	4.5	17
tt0001112	3.8	46
tt0001113	5.1	18
tt0001115	4.2	21
tt0001116	4.6	20
tt0001117	5.4	15
tt0001118	5.5	213
tt0001120	5.5	253
tt0001121	4.4	58
tt0001122	4.9	20
tt0001129	5.1	70
tt0001135	4.4	60
tt0001139	5.5	40
tt0001141	5.0	15
tt0001143	4.8	54
tt0001144	4.9	54
tt0001145	5.8	11
tt0001150	5.2	128
tt0001151	4.0	62
tt0001152	5.5	83
tt0001153	4.2	58
tt0001156	4.6	57
tt0001159	5.7	31
tt0001161	4.7	59
tt0001165	4.4	41
tt0001175	5.2	45
tt0001176	4.2	40
tt0001177	6.2	21
tt0001184	3.8	22
tt0001185	7.0	20
tt0001186	5.2	73
tt0001187	4.9	42
tt0001190	6.6	14
tt0001195	4.4	16
tt0001196	4.1	9
tt0001200	4.5	45
tt0001202	4.6	40
tt0001206	6.3	46
tt0001207	5.5	149
tt0001211	5.5	48
tt0001214	6.6	9
tt0001216	5.1	41
tt0001217	5.6	115
tt0001218	5.2	134
tt0001223	6.4	4759
tt0001227	5.8	274
tt0001230	5.5	32
tt0001233	7.6	22
tt0001234	5.7	45
tt0001235	5.2	63
tt0001236	5.4	44
tt0001237	4.8	82
tt0001240	3.8	22
tt0001241	4.5	17
tt0001242	5.1	18
tt0001245	5.6	81
tt0001253	5.6	24
tt0001254	5.2	25
tt0001256	5.9	583
tt0001258	5.8	170
tt0001259	5.2	22
tt0001260	4.6	22
tt0001262	5.2	33
tt0001264	7.1	83
tt0001265	6.4	566
tt0001277	4.4	25
tt0001280	4.9	36
tt0001282	6.6	37
tt0001283	6.1	27
tt0001284	4.9	51
tt0001285	5.5	62
tt0001292	5.1	68
tt0001294	7.2	16
tt0001299	3.8	17
tt0001303	6.0	18
tt0001306	4.8	12
tt0001307	5.5	17
tt0001310	5.5	32
tt0001313	5.2	16
tt0001314	5.8	166
tt0001315	5.9	26
tt0001321	5.4	65
tt0001326	5.6	66
tt0001330	5.5	45
tt0001332	5.5	38
tt0001333	5.7	64
tt0001334	6.5	20
tt0001337	5.7	63
tt0001338	5.2	19
tt0001340	5.2	106
tt0001348	4.0	12
tt0001351	6.0	70
tt0001353	5.0	14
tt0001358	4.2	28
tt0001364	6.2	13
tt0001370	5.2	26
tt0001371	5.9	443
tt0001377	5.0	30
tt0001378	6.0	231
tt0001379	4.6	13
tt0001380	3.6	11
tt0001381	5.7	42
tt0001385	5.5	86
tt0001386	4.3	20
tt0001387	5.3	36
tt0001388	5.8	99
tt0001396	3.0	19
tt0001400	6.4	18
tt0001401	6.2	34
tt0001407	6.4	24
tt0001410	4.8	23
tt0001414	6.2	72
tt0001415	5.0	14
tt0001416	4.6	14
tt0001423	4.2	14
tt0001428	5.4	62
tt0001431	6.3	883
tt0001432	5.8	41
tt0001439	5.8	282
tt0001440	4.6	23
tt0001443	6.1	19
tt0001444	3.2	33
tt0001446	5.8	19
tt0001452	5.5	230
tt0001454	5.6	42
tt0001456	8.4	19
tt0001458	5.8	230
tt0001459	5.5	64
tt0001460	3.6	19
tt0001461	6.0	39
tt0001463	5.7	1644
tt0001469	5.9	153
tt0001475	7.4	23
tt0001481	5.6	43
tt0001482	4.9	77
tt0001488	6.3	558
tt0001490	4.9	26
tt0001496	4.1	68
tt0001497	7.7	11
tt0001498	8.1	15
tt0001499	5.6	375
tt0001500	5.0	8
tt0001508	4.8	51
tt0001510	5.5	70
tt0001517	5.5	44
tt0001518	5.8	25
tt0001519	5.1	42
tt0001521	4.4	8
tt0001527	7.7	3223
tt0001529	4.0	22
tt0001530	5.4	18
tt0001531	4.6	15
tt0001532	5.2	15
tt0001542	4.0	35
tt0001544	6.0	829
tt0001545	6.1	153
tt0001550	5.5	55
tt0001551	5.2	99
tt0001552	5.1	40
tt0001557	4.8	117
tt0001560	4.5	26
tt0001563	5.9	46
tt0001564	4.1	31
tt0001571	4.4	29
tt0001577	5.0	33
tt0001582	4.4	32
tt0001583	5.3	18
tt0001584	5.2	23
tt0001586	3.4	20
tt0001587	4.0	28
tt0001588	5.4	219
tt0001590	5.5	9
tt0001592	5.9	28
tt0001593	6.3	408
tt0001594	6.4	369
tt0001598	5.8	49
tt0001607	5.4	80
tt0001613	5.3	170
tt0001614	6.4	42
tt0001615	4.9	39
tt0001618	6.1	22
tt0001624	5.1	49
tt0001630	6.2	39
tt0001632	6.4	47
tt0001638	6.8	11
tt0001642	5.0	42
tt0001648	4.2	8
tt0001654	5.4	44
tt0001655	4.0	18
tt0001658	5.9	16
tt0001659	6.9	20
tt0001660	5.6	227
tt0001668	4.2	36
tt0001671	5.1	38
tt0001680	5.1	653
tt0001681	4.7	312
tt0001692	5.4	15
tt0001693	6.7	26
tt0001695	4.8	62
tt0001696	5.0	13
tt0001701	4.5	83
tt0001706	5.0	19
tt0001709	5.6	45
tt0001712	4.6	8
tt0001715	3.9	10
tt0001717	3.4	24
tt0001722	4.2	13
tt0001724	5.7	289
tt0001728	6.1	17
tt0001732	7.0	18
tt0001733	5.5	24
tt0001737	7.1	1853
tt0001738	6.6	62
tt0001740	6.5	1342
tt0001741	4.8	25
tt0001742	5.7	15
tt0001747	5.3	26
tt0001753	5.8	19
tt0001761	5.4	6
tt0001762	4.6	80
tt0001769	5.4	87
tt0001771	5.5	170
tt0001772	5.5	23
tt0001776	6.4	246
tt0001777	5.4	21
tt0001779	7.0	16
tt0001787	8.0	14
tt0001789	6.3	301
tt0001790	6.0	52
tt0001791	5.3	13
tt0001799	4.9	14
tt0001803	3.0	13
tt0001812	5.5	15
tt0001815	6.6	27
tt0001817	5.1	90
tt0001818	5.2	12
tt0001832	5.9	64
tt0001840	4.9	44
tt0001845	5.1	11
tt0001848	4.4	42
tt0001852	4.1	12
tt0001856	4.6	54
tt0001857	5.6	229
tt0001862	5.3	48
tt0001865	5.8	87
tt0001868	5.6	12
tt0001871	4.8	61
tt0001872	7.4	58
tt0001874	7.7	13
tt0001877	5.2	79
tt0001886	4.6	12
tt0001889	4.0	15
tt0001892	5.8	266
tt0001896	5.1	86
tt0001910	5.3	76
tt0001911	3.6	26
tt0001913	5.4	247
tt0001915	5.5	145
tt0001921	5.3	17
tt0001923	7.2	37
tt0001924	5.4	12
tt0001925	5.0	52
tt0001927	5.0	12
tt0001928	4.5	55
tt0001941	5.1	95
tt0001949	5.7	31
tt0001956	6.1	17
tt0001957	5.1	60
tt0001963	5.6	172
tt0001964	5.9	100
tt0001967	6.2	14
tt0001969	5.4	14
tt0001973	6.1	299
tt0001978	5.8	56
tt0001987	6.1	26
tt0001989	5.6	17
tt0001993	4.1	22
tt0001998	4.5	42
tt0002004	5.9	18
tt0002020	4.6	155
tt0002022	6.0	13
tt0002026	4.5	16
tt0002029	6.0	72
tt0002031	4.5	26
tt0002033	5.3	43
tt0002034	5.4	70
tt0002041	4.5	69
tt0002045	4.3	94
tt0002046	3.7	9
tt0002054	5.8	235
tt0002056	6.6	236
tt0002064	4.9	90
tt0002065	6.2	65
tt0002066	3.8	102
tt0002068	5.1	55
tt0002070	5.3	51
tt0002071	4.2	19
tt0002078	5.1	69
tt0002082	6.0	422
tt0002083	6.1	324
tt0002093	5.3	43
tt0002095	5.2	39
tt0002096	4.1	18
tt0002097	3.8	39
tt0002098	5.9	156
tt0002101	5.1	621
tt0002107	4.7	24
tt0002113	6.8	1204
tt0002114	4.7	19
tt0002121	5.1	51
tt0002122	6.2	330
tt0002124	5.1	396
tt0002126	5.8	92
tt0002130	7.0	3475
tt0002132	6.0	23
tt0002133	5.7	223
tt0002136	5.6	110
tt0002139	5.9	22
tt0002143	6.0	773
tt0002144	5.2	18
tt0002145	9.0	14
tt0002151	5.0	33
tt0002153	5.9	82
tt0002159	4.5	44
tt0002160	6.2	141
tt0002162	4.7	85
tt0002167	4.6	23
tt0002172	4.8	36
tt0002176	5.9	329
tt0002177	5.9	81
tt0002179	3.6	41
tt0002181	6.1	248
tt0002186	6.5	146
tt0002190	6.2	424
tt0002196	4.6	20
tt0002197	5.5	313
tt0002198	6.2	29
tt0002199	5.8	642
tt0002200	6.1	98
tt0002202	4.8	16
tt0002203	5.1	65
tt0002206	5.6	22
tt0002208	6.8	1299
tt0002212	5.8	46
tt0002214	6.1	44
tt0002216	5.5	48
tt0002220	3.8	46
tt0002221	6.7	511
tt0002224	5.1	168
tt0002226	5.8	76
tt0002230	6.4	107
tt0002232	5.3	67
tt0002233	4.6	150
tt0002234	8.5	27
tt0002251	7.2	14
tt0002253	5.1	15
tt0002255	4.6	57
tt0002259	5.0	16
tt0002260	6.3	1346
tt0002261	6.0	37
tt0002262	5.4	13
tt0002266	6.7	15
tt0002268	4.6	15
tt0002273	5.2	39
tt0002277	6.5	41
tt0002278	5.1	41
tt0002280	5.0	52
tt0002281	6.2	334
tt0002282	5.9	57
tt0002287	5.2	16
tt0002290	5.3	67
tt0002293	4.2	19
tt0002295	7.7	15
tt0002300	6.0	18
tt0002302	5.8	64
tt0002303	5.6	207
tt0002305	7.6	30
tt0002309	8.6	22
tt0002318	5.8	54
tt0002320	3.6	17
tt0002325	5.4	8
tt0002329	5.0	36
tt0002330	5.4	16
tt0002332	5.2	39
tt0002337	5.8	15
tt0002340	5.7	58
tt0002342	5.8	114
tt0002349	5.2	23
tt0002350	6.5	356
tt0002354	6.1	198
tt0002355	5.8	73
tt0002357	6.1	254
tt0002369	6.1	64
tt0002370	6.0	18
tt0002371	6.3	24
tt0002374	6.2	19
tt0002375	5.7	12
tt0002380	5.5	27
tt0002381	6.6	2496
tt0002382	6.2	74
tt0002383	6.7	12
tt0002386	5.9	159
tt0002387	4.4	54
tt0002391	6.3	935
tt0002392	6.5	15
tt0002395	4.8	14
tt0002398	5.2	56
tt0002399	4.2	24
tt0002400	5.7	262
tt0002402	7.7	8
tt0002405	5.0	41
tt0002406	4.6	26
tt0002408	6.2	331
tt0002409	6.4	21
tt0002415	5.9	645
tt0002421	6.1	124
tt0002423	6.6	1010
tt0002429	6.2	180
tt0002431	5.0	14
tt0002434	9.0	13
tt0002437	8.6	14
tt0002440	4.0	31
tt0002441	5.6	36
tt0002443	4.2	19
tt0002445	6.1	445
tt0002449	6.4	68
tt0002451	8.5	22
tt0002452	6.4	271
tt0002461	5.7	323
tt0002465	5.4	71
tt0002473	6.5	97
tt0002474	6.4	12
tt0002475	6.4	123
tt0002477	6.4	14
tt0002478	5.6	81
tt0002483	4.8	16
tt0002484	5.7	56
tt0002497	5.8	133
tt0002500	6.0	24
tt0002501	4.2	47
tt0002504	4.8	65
tt0002505	5.1	20
tt0002506	5.3	39
tt0002512	6.2	418
tt0002514	4.9	18
tt0002515	5.2	21
tt0002521	5.4	45
tt0002523	5.6	107
tt0002528	5.0	65
tt0002529	5.0	17
tt0002531	6.2	17
tt0002532	5.9	92
tt0002533	5.0	82
tt0002535	4.7	51
tt0002536	5.5	55
tt0002538	7.1	18
tt0002540	7.0	9
tt0002542	5.8	28
tt0002544	5.8	241
tt0002545	7.6	16
tt0002546	7.4	30
tt0002547	6.3	16
